Year,Sector,City,GNC_Value,Z_Score,Percentile,Rank,Significance,Global_Mean,Global_Std,Global_Median,IQR,Skewness,N_Cities
2000,Accountancy,Singapore,12359.0,1.492,93.1,22,not significant,6632.9,3838.4,6131.0,5236.0,0.79,305
2000,Accountancy,London,23796.0,4.471,100.0,1,p < 0.001,6632.9,3838.4,6131.0,5236.0,0.79,305
2000,Advertising,Singapore,5642.0,2.02,96.7,8,p < 0.05,2295.8,1656.2,2050.0,2567.0,0.991,215
2000,Advertising,London,8097.0,3.503,99.5,2,p < 0.001,2295.8,1656.2,2050.0,2567.0,0.991,215
2000,Financial,Singapore,13174.0,3.046,98.6,5,p < 0.01,3449.8,3192.0,2212.0,3375.0,1.617,281
2000,Financial,London,16593.0,4.117,100.0,1,p < 0.001,3449.8,3192.0,2212.0,3375.0,1.617,281
2000,Insurance,Singapore,4017.0,2.812,98.8,4,p < 0.01,1170.3,1012.4,802.0,1364.0,1.689,260
2000,Insurance,London,6419.0,5.185,100.0,1,p < 0.001,1170.3,1012.4,802.0,1364.0,1.689,260
2000,Legal,Singapore,1899.0,1.871,93.3,8,not significant,651.1,666.9,405.0,678.0,1.993,104
2000,Legal,London,3505.0,4.279,100.0,1,p < 0.001,651.1,666.9,405.0,678.0,1.993,104
2000,Management Consultancy,Singapore,2998.0,1.933,94.5,9,not significant,1119.4,971.7,864.0,1237.8,1.216,146
2000,Management Consultancy,London,4754.0,3.74,100.0,1,p < 0.001,1119.4,971.7,864.0,1237.8,1.216,146
2000,Total,Singapore,40891.0,2.704,98.4,6,p < 0.01,13012.7,10311.1,10096.0,10782.0,1.566,313
2000,Total,London,63354.0,4.882,100.0,1,p < 0.001,13012.7,10311.1,10096.0,10782.0,1.566,313
2012,Accountancy,Singapore,22952.0,1.779,95.3,23,not significant,10884.4,6784.3,10286.0,10315.0,0.508,469
2012,Accountancy,London,38840.0,4.121,100.0,1,p < 0.001,10884.4,6784.3,10286.0,10315.0,0.508,469
2012,Advertising,Singapore,8576.0,2.083,98.7,4,p < 0.05,3359.2,2504.0,2794.0,4045.5,0.739,223
2012,Advertising,London,10183.0,2.725,99.6,2,p < 0.01,3359.2,2504.0,2794.0,4045.5,0.739,223
2012,Financial,Singapore,22518.0,4.078,99.4,4,p < 0.001,4049.9,4528.9,2415.0,3278.0,2.404,483
2012,Financial,London,30262.0,5.788,100.0,1,p < 0.001,4049.9,4528.9,2415.0,3278.0,2.404,483
2012,Insurance,Singapore,0.0,0.0,50.0,1,not significant,0.0,0.0,0.0,0.0,0.0,0
